entry,Pointcloud_Map_ID,Pointcloud,row_num,MOD,depth,rot,timestamp,row_bc,depth_bc,rot_bc,Band_1_bc,Band_2_bc,Band_3_bc,Band_4_bc,Band_5_bc,Band_6_bc,Band_7_bc,Band_8_bc,Band_9_bc,Band_10_bc,Band_11_bc,Band_12_bc,Band_13_bc,Band_14_bc,Band_15_bc,Band_16_bc,Band_17_bc,Band_18_bc,Band_19_bc,Band_20_bc,Band_21_bc,Band_22_bc,Band_23_bc,Band_24_bc,Band_25_bc,Band_26_bc,Band_27_bc,Band_28_bc,Band_29_bc,Band_30_bc,Band_31_bc,Band_32_bc,Band_1_std1_MAX_SDT,Band_2_std1_MAX_SDT,Band_3_std1_MAX_SDT,Band_4_std1_MAX_SDT,Band_5_std1_MAX_SDT,Band_6_std1_MAX_SDT,Band_7_std1_MAX_SDT,Band_8_std1_MAX_SDT,Band_9_std1_MAX_SDT,Band_10_std1_MAX_SDT,Band_11_std1_MAX_SDT,Band_12_std1_MAX_SDT,Band_13_std1_MAX_SDT,Band_14_std1_MAX_SDT,Band_15_std1_MAX_SDT,Band_16_std1_MAX_SDT,Band_17_std1_MAX_SDT,Band_18_std1_MAX_SDT,Band_19_std1_MAX_SDT,Band_20_std1_MAX_SDT,Band_21_std1_MAX_SDT,Band_22_std1_MAX_SDT,Band_23_std1_MAX_SDT,Band_24_std1_MAX_SDT,Band_25_std1_MAX_SDT,Band_26_std1_MAX_SDT,Band_27_std1_MAX_SDT,Band_28_std1_MAX_SDT,Band_29_std1_MAX_SDT,Band_30_std1_MAX_SDT,Band_31_std1_MAX_SDT,Band_32_std1_MAX_SDT
1,16,Pointcloud_2019_07_04_10_59_16,1,1,89.225,4,3645082622.213,1,89.225,4,0,0,5.63031428571428,1.75762857142857,13.103,14.6008,0,78.0812285714286,102.573657142857,23.1795428571429,43.9961142857144,51.6584,71.0402285714285,17.4587999999999,24.4100285714285,32.6958285714286,42.0068857142858,75.0282000000001,17.3822285714285,0,69.2742285714285,28.6748285714285,61.9248571428572,50.4505142857142,1.06077142857146,14.7453714285714,0,56.7252571428572,0,0,46.2034,4.47002857142854,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
2,16,Pointcloud_2019_07_04_10_59_16,3,1,89.223,4,3645082622.245,3,89.223,4,5.86011428571429,0,6.63205714285714,5.75811428571429,11.106,0,33.4737142857143,121.105314285714,1.63302857142867,19.2733714285714,105.063657142857,79.7167999999999,0,0,0,0,19.0423428571429,167.0564,35.4073142857143,27.5970857142858,42.2913142857142,0,40.9354285714286,17.4724571428571,0,62.7478857142858,10.5145714285715,0,0,83.3617142857142,0,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
3,16,Pointcloud_2019_07_04_10_59_16,5,1,89.222,4,3645082622.271,5,89.222,4,0,8.8114,16.6338,0.758600000000001,0,11.6024,0,89.1294,0,0,261.1312,0,51.2064,142.5764,43.5157999999999,0,0,0,71.4323999999999,0,14.3083999999999,68.7102,47.946,48.4943999999999,19.0966,18.7504,28.529,13.7472,19.0306000000001,69.364,101.2102,86.4957999999999,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
4,16,Pointcloud_2019_07_04_10_59_16,7,1,89.22,4,3645082622.294,7,89.22,4,10.8630857142857,0,1.63554285714286,22.7590857142857,21.112,11.6032,52.4902857142857,0,78.7517714285714,0,79.1987428571429,0,159.289485714286,117.6352,99.5686857142857,0,0,94.1128,55.4574857142857,0,68.3254857142856,0,18.9565714285715,61.5163428571428,37.1145142857143,153.752914285714,142.543428571429,71.7581714285715,98.0408000000001,33.3662857142857,25.2135999999999,82.5086857142857,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
5,16,Pointcloud_2019_07_04_10_59_16,9,1,89.218,4,3645082622.32,9,89.218,4,6.86457142857143,0.818999999999999,9.63728571428571,6.75957142857143,0,19.604,2.49857142857141,101.177571428571,29.8111428571428,75.5548571428571,17.2662857142857,98.8919999999998,69.3725714285715,29.694,47.6215714285713,49.8505714285715,0,5.14100000000008,29.4825714285714,60.6784285714286,48.3425714285713,84.7455714285715,0,0,40.1324285714286,5.75542857142852,26.5578571428572,0,45.051,128.368571428571,96.217,100.521571428571,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
6,16,Pointcloud_2019_07_04_10_59_16,11,1,89.217,4,3645082622.344,11,89.217,4,1.86605714285714,0.822800000000001,0,4.76005714285714,0,37.6048,41.5068571428571,12.2016571428571,110.870514285714,82.6486857142857,71.3338285714287,3.95039999999995,145.455657142857,149.7528,78.6744571428571,0,70.1841714285715,12.1692,71.5076571428571,0,0,136.763257142857,58.9777142857143,26.5602285714285,23.1503428571428,53.7579428571429,50.5722857142857,48.7801142857144,20.0612,68.3708571428572,82.2203999999999,108.534457142857,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
7,16,Pointcloud_2019_07_04_10_59_16,13,1,89.24,4,3645082622.367,13,89.24,4,13.8675428571429,4.8266,8.64077142857143,1.76054285714286,21.121,25.6056,98.5151428571429,60.2257428571429,184.929885714286,184.742514285714,326.401371428572,59.0087999999998,190.538742857143,59.8116,69.7273428571427,0,0,86.1974,128.532742857143,28.7326571428572,0,67.7809428571428,21.9882857142858,58.5821714285714,0,25.7604571428572,13.5867142857144,67.7910857142857,50.0714,139.373142857143,111.2238,148.547342857143,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
8,16,Pointcloud_2019_07_04_10_59_16,15,1,89.239,4,3645082622.391,15,89.239,4,17.8690285714286,9.8304,19.6425142857143,0,0,34.6064,38.5234285714286,44.2498285714286,245.989257142857,85.8363428571429,258.468914285714,67.0672,0,180.8704,0,0,0,66.2256,128.557828571429,35.7597714285714,82.3938285714286,83.7986285714286,49.9988571428572,91.6041142857142,9.18617142857147,96.7629714285714,111.601142857143,139.802057142857,123.0816,115.375428571429,153.2272,61.5602285714285,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
9,16,Pointcloud_2019_07_04_10_59_16,17,1,89.237,4,3645082622.416,17,89.237,4,29.8705142857143,19.8342,2.64425714285714,1.76151428571428,7.127,21.6072,0,68.2739142857143,25.0486285714287,8.93017142857138,69.5364571428572,27.1255999999999,118.704914285714,160.9292,164.833114285714,10.0053142857142,93.2905428571429,67.2538000000001,102.582914285714,75.7868857142858,60.4109142857143,19.8163142857143,22.0094285714287,46.6260571428571,30.2040857142857,140.765485714286,0,0,16.0918,0,65.2306,34.5731142857143,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
10,16,Pointcloud_2019_07_04_10_59_16,19,1,89.236,4,3645082622.44,19,89.236,4,0,0,12.646,21.762,0,0,13.54,47.298,55.108,127.024,0,54.184,239.788,27.9880000000001,40.886,0,59.326,58.282,48.608,108.814,124.428,62.8340000000001,51.0200000000001,0,0,124.768,34.6300000000001,58.8240000000001,18.102,45.38,84.2339999999999,0,11.4426104247822,16.4725360659628,11.3841995766062,15.7342513856448,23.3068897777269,21.321871921157,21.3551971296086,71.3589517860232,94.6406067417387,115.786201442333,86.9227626497609,93.0373879446084,88.177913586365,78.7200383920412,67.3709465900877,51.8287779348715,58.9086863996587,42.6479125449821,59.28096940278,59.6266159808968,68.572427241405,63.0806362259185,51.5833737210397,69.6374739474212,46.7047463683653,54.8448316211797,68.7928452352101,59.3898607133873,49.9164858093552,53.242109483211,41.110825824836,53.9732444004537
